"NetHack 3.7.0 (f58b7a8,2025/07/17)",namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,quasit,S_IMP,3,15,2,20,-7,G_GENO|2,"ATTK(AT_CLAW,AD_DRDX,1,2)","ATTK(AT_CLAW,AD_DRDX,1,2)","ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_SILENT,MZ_SMALL,MR_POISON,MR_POISON,M1_REGEN,M2_STALK,M3_INFRAVISION|M3_INFRAVISIBLE,4,-,-,-,7,7,24,MR_POISON=20
,,,tengu,S_IMP,6,13,5,30,7,G_GENO|3,"ATTK(AT_BITE,AD_PHYS,1,7)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,200,MS_SQAWK,MZ_SMALL,MR_POISON,MR_POISON,M1_TPORT|M1_TPORT_CNTRL,M2_STALK,M3_INFRAVISION|M3_INFRAVISIBLE,6,-,-,-,7,7,40,MR_POISON=40|M1_TPORT=60|M1_TPORT_CNTRL=50
,,,blue jelly,S_JELLY,4,0,8,10,0,G_GENO|2,"ATTK(AT_NONE,AD_COLD,0,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,20,MS_SILENT,MZ_MEDIUM,MR_COLD|MR_POISON,MR_COLD|MR_POISON,M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,4,-,-,-,5,5,25,MR_COLD=27|MR_POISON=27
,,,spotted jelly,S_JELLY,5,0,8,10,0,G_GENO|1,"ATTK(AT_NONE,AD_ACID,0,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,20,MS_SILENT,MZ_MEDIUM,MR_ACID|MR_STONE,MR_ACID|MR_STONE,M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID,M2_NEUTER|M2_HOSTILE,,2,UNSTONE=100|-,ACID=100|-,-,6,6,36,MR_ACID=100|MR_STONE=83
,,,ochre jelly,S_JELLY,6,3,8,20,0,G_GENO|2,"ATTK(AT_ENGL,AD_ACID,3,6)","ATTK(AT_NONE,AD_ACID,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,20,MS_SILENT,MZ_MEDIUM,MR_ACID|MR_STONE,MR_ACID|MR_STONE,M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_ACID,M2_NEUTER|M2_HOSTILE,,3,UNSTONE=100|-,ACID=100|-,-,8,8,64,MR_ACID=100|MR_STONE=100
,,,kobold,S_KOBOLD,0,6,10,0,-2,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,100,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,POISON=100|-,-,1,1,6,
,,,large kobold,S_KOBOLD,1,6,10,0,-3,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,450,150,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,POISON=100|-,-,2,2,7,
,kobold lord,kobold lady,kobold leader,S_KOBOLD,2,6,10,0,-4,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,200,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_LORD|M2_HOSTILE|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,5,-,POISON=100|-,-,3,3,10,
,,,kobold shaman,S_KOBOLD,2,6,6,10,-4,G_GENO|1,"ATTK(AT_MAGC,AD_SPEL,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,450,150,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID|M1_POIS|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_MAGIC,M3_INFRAVISION|M3_INFRAVISIBLE,12,PW=66;22;1|-,POISON=100|-,-,4,4,17,
,,,leprechaun,S_LEPRECHAUN,5,15,8,20,0,G_GENO|4,"ATTK(AT_CLAW,AD_SGLD,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,60,30,MS_LAUGH,MZ_TINY,,,M1_HUMANOID|M1_TPORT,M2_HOSTILE|M2_GREEDY,M3_INFRAVISIBLE,2,-,-,-,4,4,34,M1_TPORT=50
,,,small mimic,S_MIMIC,7,3,7,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,200,MS_SILENT,MZ_MEDIUM,MR_ACID,,M1_AMORPHOUS|M1_HIDE|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE,,3,-,MIMIC=100|-,-,8,8,50,
,,,large mimic,S_MIMIC,8,3,7,10,0,G_GENO|1,"ATTK(AT_CLAW,AD_STCK,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,400,MS_SILENT,MZ_LARGE,MR_ACID,,M1_AMORPHOUS|M1_CLING|M1_HIDE|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,1,-,MIMIC=100|-,-,9,9,73,
,,,giant mimic,S_MIMIC,9,3,7,20,0,G_GENO|1,"ATTK(AT_CLAW,AD_STCK,3,6)","ATTK(AT_CLAW,AD_STCK,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,500,MS_SILENT,MZ_LARGE,MR_ACID,,M1_AMORPHOUS|M1_CLING|M1_HIDE|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_THICK_HIDE|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,5,-,MIMIC=100|-,-,11,11,150,
,,,wood nymph,S_NYMPH,3,12,9,20,0,G_GENO|2,"ATTK(AT_CLAW,AD_SITM,0,0)","ATTK(AT_CLAW,AD_SEDU,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_SEDUCE,MZ_MEDIUM,,,M1_HUMANOID|M1_TPORT,M2_FEMALE|M2_HOSTILE|M2_COLLECT,M3_INFRAVISIBLE,2,-,-,-,5,5,16,M1_TPORT=30
,,,water nymph,S_NYMPH,3,12,9,20,0,G_GENO|2,"ATTK(AT_CLAW,AD_SITM,0,0)","ATTK(AT_CLAW,AD_SEDU,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_SEDUCE,MZ_MEDIUM,,,M1_SWIM|M1_HUMANOID|M1_TPORT,M2_FEMALE|M2_HOSTILE|M2_COLLECT,M3_INFRAVISIBLE,4,-,-,-,5,5,16,M1_TPORT=30
,,,mountain nymph,S_NYMPH,3,12,9,20,0,G_GENO|2,"ATTK(AT_CLAW,AD_SITM,0,0)","ATTK(AT_CLAW,AD_SEDU,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_SEDUCE,MZ_MEDIUM,,,M1_HUMANOID|M1_TPORT,M2_FEMALE|M2_HOSTILE|M2_COLLECT,M3_INFRAVISIBLE,3,-,-,-,5,5,16,M1_TPORT=30
,,,goblin,S_ORC,0,6,10,0,-3,G_GENO|2,"ATTK(AT_WEAP,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,100,MS_ORC,MZ_SMALL,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,7,-,-,-,1,1,6,
,,,hobgoblin,S_ORC,1,9,10,0,-4,G_GENO|2,"ATTK(AT_WEAP,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_ORC,MZ_MEDIUM,,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,3,-,-,-,3,2,7,
,,,orc,S_ORC,1,9,10,0,-3,G_GENO|G_LGROUP|G_NOGEN|0,"ATTK(AT_WEAP,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,150,MS_ORC,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_NOPOLY|M2_ORC|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,-,-,3,3,7,
,,,hill orc,S_ORC,2,9,10,0,-4,G_GENO|G_LGROUP|2,"ATTK(AT_WEAP,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_ORC,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,11,-,-,-,4,4,10,
,,,Mordor orc,S_ORC,3,5,10,0,-5,G_GENO|G_LGROUP|1,"ATTK(AT_WEAP,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1200,200,MS_ORC,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,4,-,-,-,5,5,15,
,,,Uruk-hai,S_ORC,3,7,10,0,-4,G_GENO|G_LGROUP|1,"ATTK(AT_WEAP,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_ORC,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,0,-,-,-,5,5,15,
,,,orc shaman,S_ORC,3,9,5,10,-5,G_GENO|1,"ATTK(AT_MAGC,AD_SPEL,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,300,MS_ORC,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_GREEDY|M2_JEWELS|M2_MAGIC,M3_INFRAVISION|M3_INFRAVISIBLE,12,PW=66;22;1|-,-,-,5,5,23,
,,,orc-captain,S_ORC,5,5,10,0,-5,G_GENO|1,"ATTK(AT_WEAP,AD_PHYS,2,4)","ATTK(AT_WEAP,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1350,350,MS_ORC,MZ_MEDIUM,MR_POISON,,M1_HUMANOID|M1_CARNIVORE|M1_HERBIVORE,M2_ORC|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,5,-,-,-,7,7,36,
,,,rock piercer,S_PIERCER,3,1,3,0,0,G_GENO|4,"ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_SILENT,MZ_SMALL,,,M1_CLING|M1_HIDE|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,7,-,-,-,4,4,10,
,,,iron piercer,S_PIERCER,5,1,0,0,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,300,MS_SILENT,MZ_MEDIUM,,,M1_CLING|M1_HIDE|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,6,-,-,-,6,6,33,
,,,glass piercer,S_PIERCER,7,1,0,0,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,300,MS_SILENT,MZ_MEDIUM,MR_ACID,,M1_CLING|M1_HIDE|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,,15,-,-,-,9,9,64,
,,,rothe,S_QUADRUPED,2,9,7,0,0,G_GENO|G_SGROUP|4,"ATTK(AT_CLAW,AD_PHYS,1,3)","ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_BITE,AD_PHYS,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,400,100,MS_MOO,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,4,4,5,
,,,mumak,S_QUADRUPED,5,9,0,0,-2,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,4,12)","ATTK(AT_BITE,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,500,MS_TRUMPET,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,7,-,-,-,7,7,38,
,,,leocrotta,S_QUADRUPED,6,18,4,10,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,2,6)","ATTK(AT_BITE,AD_PHYS,2,6)","ATTK(AT_CLAW,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1200,500,MS_IMITATE,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,1,-,-,-,8,8,40,
,,,wumpus,S_QUADRUPED,8,3,2,10,0,G_GENO|1,"ATTK(AT_BITE,AD_PHYS,3,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,500,MS_BURBLE,MZ_LARGE,,,M1_CLING|M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,6,-,-,-,9,9,70,
,,,titanothere,S_QUADRUPED,12,12,6,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2650,650,MS_BELLOW,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,7,-,-,-,13,13,195,
,,,baluchitherium,S_QUADRUPED,14,12,5,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,5,4)","ATTK(AT_CLAW,AD_PHYS,5,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_BELLOW,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,7,-,-,-,15,15,247,
,,,mastodon,S_QUADRUPED,20,12,5,0,0,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,4,8)","ATTK(AT_BUTT,AD_PHYS,4,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_TRUMPET,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,M3_INFRAVISIBLE,0,-,-,-,22,22,491,
,,,sewer rat,S_RODENT,0,12,7,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,1,1,1,
,,,giant rat,S_RODENT,1,10,7,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,2,2,2,
,,,rabid rat,S_RODENT,2,12,6,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRCO,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,5,MS_SQEEK,MZ_TINY,MR_POISON,,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,POISON=100|-,-,4,4,7,
,,,wererat,S_RODENT,2,12,6,10,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,40,30,MS_SQEEK,MZ_TINY,MR_POISON,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE|M2_HOSTILE,M3_INFRAVISIBLE,3,-,LYCANTROPY=100|POISON=100|-,-,4,4,7,
,,,rock mole,S_RODENT,3,3,0,20,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,,,M1_TUNNEL|M1_NOHANDS|M1_ANIMAL|M1_METALLIVORE,M2_HOSTILE|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISIBLE,7,-,-,-,4,4,17,
,,,woodchuck,S_RODENT,3,3,0,20,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,,,M1_SWIM|M1_TUNNEL|M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_HOSTILE|M2_WANDER,M3_INFRAVISIBLE,3,-,-,-,4,4,17,
,,,cave spider,S_SPIDER,1,12,3,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,7,-,-,-,3,3,2,MR_POISON= 7
,,,centipede,S_SPIDER,2,4,3,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRST,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,11,-,-,-,4,4,9,MR_POISON=13
,,,giant spider,S_SPIDER,5,15,4,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRST,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,5,-,POISON=100|-,-,7,7,39,MR_POISON=33
,,,scorpion,S_SPIDER,5,15,3,0,0,G_GENO|2,"ATTK(AT_CLAW,AD_PHYS,1,2)","ATTK(AT_CLAW,AD_PHYS,1,2)","ATTK(AT_STNG,AD_DRST,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,50,100,MS_SILENT,MZ_SMALL,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,1,-,POISON=100|-,-,8,8,42,MR_POISON=50
,,,lurker above,S_TRAPPER,10,3,3,0,0,G_GENO|2,"ATTK(AT_ENGL,AD_WRAP,1,6)","ATTK(AT_ENGL,AD_PHYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_SILENT,MZ_HUGE,,,M1_FLY|M1_HIDE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,,7,-,-,-,12,12,167,
,,,trapper,S_TRAPPER,12,3,3,0,0,G_GENO|2,"ATTK(AT_ENGL,AD_WRAP,1,8)","ATTK(AT_ENGL,AD_PHYS,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_SILENT,MZ_HUGE,,,M1_HIDE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,,2,-,-,-,14,14,213,
,,,pony,S_UNICORN,3,16,6,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,6)","ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,250,MS_NEIGH,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,4,4,13,
,,,white unicorn,S_UNICORN,4,24,2,70,7,G_GENO|2,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,15,-,-,-,6,6,27,MR_POISON=27
,,,gray unicorn,S_UNICORN,4,24,2,70,0,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,7,-,-,-,6,6,27,MR_POISON=27
,,,black unicorn,S_UNICORN,4,24,2,70,-7,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,0,-,-,-,6,6,27,MR_POISON=27
,,,horse,S_UNICORN,5,20,5,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,8)","ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,300,MS_NEIGH,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,7,7,31,
,,,warhorse,S_UNICORN,7,24,4,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,10)","ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,9,9,55,
,,,fog cloud,S_VORTEX,3,1,0,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_ENGL,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,,7,-,-,-,4,4,20,
,,,dust vortex,S_VORTEX,4,20,2,30,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_ENGL,AD_BLND,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,3,-,-,-,6,6,34,
,,,ice vortex,S_VORTEX,5,20,2,30,0,G_NOCORPSE|G_GENO|G_NOHELL|1,"ATTK(AT_ENGL,AD_COLD,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,6,-,-,-,7,7,49,
,,,energy vortex,S_VORTEX,6,20,2,30,0,G_NOCORPSE|G_GENO|1,"ATTK(AT_ENGL,AD_ELEC,1,6)","ATTK(AT_ENGL,AD_DREN,2,6)","ATTK(AT_NONE,AD_ELEC,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,,12,-,-,-,9,9,83,
