index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob,Flags 4,MH
,,,pony,S_UNICORN,3,16,6,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,6)","ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,250,MS_NEIGH,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,4,4,13,,,,
,,,lesser nightmare,S_UNICORN,3,16,6,0,-9,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,6)","ATTK(AT_BITE,AD_DRST,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,250,MS_NEIGH,MZ_MEDIUM,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,2,-,-,-,5,5,19,MR_POISON=+14,,,
,,,deer,S_UNICORN,3,18,7,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_KICK,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_SQEEK,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_FEMALE|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE|M3_SKITTISH,9,-,-,-,4,5,13,,,,
,,,white unicorn,S_UNICORN,4,24,2,70,7,G_GENO|2,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,15,-,-,-,6,6,27,MR_POISON=+14,,,
,,,gray unicorn,S_UNICORN,4,24,2,70,0,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_DRUID_FORM_B|M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,7,-,-,-,6,6,27,MR_POISON=+14,,,
,,,black unicorn,S_UNICORN,4,24,2,70,-7,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,0,-,-,-,6,6,27,MR_POISON=+14,,,
,,,horse,S_UNICORN,5,20,5,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,8)","ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,300,MS_NEIGH,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,7,7,31,,,,
,,,nightmare,S_UNICORN,5,20,5,0,-9,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,8)","ATTK(AT_BITE,AD_DRST,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,2,-,-,-,8,7,41,MR_POISON=+16,,,
,,,stag,S_UNICORN,6,20,6,0,0,G_GENO|2,"ATTK(AT_BUTT,AD_PHYS,2,4)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,400,MS_SQEEK,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DRUID_FORM_A|M2_MALE|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,9,-,-,-,7,8,42,,,,
,,,warhorse,S_UNICORN,7,24,4,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,10)","ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,9,9,55,,,,
,,,cauchemar,S_UNICORN,7,24,4,0,-9,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,10)","ATTK(AT_BITE,AD_DRST,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,2,-,-,-,10,9,69,MR_POISON=+20,,,
,,,pegasus,S_UNICORN,18,24,-4,50,0,G_NOGEN|0,"ATTK(AT_KICK,AD_PHYS,2,6)","ATTK(AT_KICK,AD_PHYS,2,6)","ATTK(AT_BITE,AD_PHYS,4,4)",NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_SLEEP|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_REGEN|M1_HERBIVORE,M2_NOPOLY|M2_DRUID_FORM_D|M2_PEACEFUL|M2_DOMESTIC|M2_WANDER|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,-,-,20,21,528,,,,
,,,greater pegasus,S_UNICORN,20,24,-6,90,0,G_NOGEN|0,"ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_BITE,AD_PHYS,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_SLEEP|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_REGEN|M1_HERBIVORE,M2_NOPOLY|M2_PEACEFUL|M2_DOMESTIC|M2_WANDER|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,-,-,22,23,642,,,,
,,,Pale Horse,S_UNICORN,18,24,0,70,0,G_NOCORPSE|G_NOGEN|G_UNIQ|0,"ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_BITE,AD_SPC1,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_COLD|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_REGEN|M1_SEE_INVIS,M2_NOPOLY|M2_HOSTILE|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,7,-,-,-,21,21,549,,,MH_UNZOMBIE,
,,,White Horse,S_UNICORN,18,24,0,70,0,G_NOCORPSE|G_NOGEN|G_UNIQ|0,"ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_BITE,AD_ENCH,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_COLD|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_REGEN|M1_SEE_INVIS,M2_NOPOLY|M2_HOSTILE|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,15,-,-,-,21,21,531,,,,
,,,Black Horse,S_UNICORN,18,24,0,70,0,G_NOCORPSE|G_NOGEN|G_UNIQ|0,"ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_BITE,AD_PLYS,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_COLD|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_REGEN|M1_SEE_INVIS,M2_NOPOLY|M2_HOSTILE|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,0,-,-,-,21,21,531,,,,
,,,Red Horse,S_UNICORN,30,24,-10,70,0,G_NOGEN|G_UNIQ|0,"ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_KICK,AD_PHYS,2,8)","ATTK(AT_BITE,AD_FIRE,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,MR_FIRE|MR_POISON,,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_REGEN|M1_SEE_INVIS|M1_HERBIVORE,M2_NOPOLY|M2_PEACEFUL|M2_DOMESTIC|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,1,-,-,-,32,33,1260,,,,
,,,fog cloud,S_VORTEX,3,1,0,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_ENGL,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,,7,-,-,-,4,4,20,,,,
,,,dust vortex,S_VORTEX,4,20,2,30,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_ENGL,AD_SLOW,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,3,-,-,-,6,6,34,,,,
,,,ice vortex,S_VORTEX,5,20,2,30,0,G_NOCORPSE|G_GENO|G_NOHELL|1,"ATTK(AT_ENGL,AD_COLD,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,6,-,-,-,7,7,49,,M4_VULNERABLE_FIRE,,
,,,energy vortex,S_VORTEX,6,20,2,30,0,G_NOCORPSE|G_GENO|1,"ATTK(AT_ENGL,AD_ELEC,1,6)","ATTK(AT_ENGL,AD_DREN,2,6)","ATTK(AT_NONE,AD_ELEC,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,,12,-,-,-,9,9,83,,,,
,,,steam vortex,S_VORTEX,7,22,2,30,0,G_NOCORPSE|G_GENO|G_HELL|2,"ATTK(AT_ENGL,AD_FIRE,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,4,-,-,-,9,9,77,,,,
,,,fire vortex,S_VORTEX,8,22,2,30,0,G_NOCORPSE|G_GENO|G_HELL|1,"ATTK(AT_ENGL,AD_FIRE,1,10)","ATTK(AT_NONE,AD_FIRE,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,10,10,110,,M4_VULNERABLE_COLD,,
,,,antimatter vortex,S_VORTEX,15,18,0,30,0,G_NOCORPSE|G_GENO|G_HELL|1,"ATTK(AT_ENGL,AD_DISN,1,10)","ATTK(AT_NONE,AD_DISN,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE|M2_NASTY,M3_INFRAVISIBLE,10,-,-,-,20,17,454,,,,
,,,baby long worm,S_WORM,5,3,5,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,6,6,26,,,,
,,,giant leech,S_WORM,6,8,5,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_STCK,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_SMALL,MR_POISON,,M1_SWIM|M1_AMPHIBIOUS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,0,-,-,-,8,7,43,,,,
,,,baby purple worm,S_WORM,8,3,5,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,5,-,-,-,9,9,65,,,,
,,,long worm,S_WORM,9,3,5,10,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_SILENT,MZ_GIGANTIC,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,3,-,-,-,10,10,195,,,,
,,,purple worm,S_WORM,15,9,6,20,0,G_GENO|2,"ATTK(AT_BITE,AD_PHYS,2,8)","ATTK(AT_ENGL,AD_DGST,4,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2700,700,MS_SILENT,MZ_GIGANTIC,,,M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,5,-,-,-,17,17,414,,,,
,,,neothelid,S_WORM,32,12,2,60,-8,G_NOGEN|0,"ATTK(AT_BREA,AD_LAVA,6,6)","ATTK(AT_TENT,AD_PHYS,2,4)","ATTK(AT_TENT,AD_DRIN,2,4)","ATTK(AT_TENT,AD_DRIN,2,4)","ATTK(AT_TENT,AD_DRIN,2,4)","ATTK(AT_ENGL,AD_DGST,6,6)",3000,800,MS_SILENT,MZ_GIGANTIC,MR_ACID|MR_PSYCHIC,,M1_SWIM|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_ACID|M1_CARNIVORE,M2_NOPOLY|M2_NEUTER|M2_HOSTILE|M2_NASTY|M2_STRONG,,5,UNSTONE=100|-,ACID=100|ILLITHID=100|-,-,36,39,1578,Telepathy=!100,,MH_ILLITHID,
,,,grid bug,S_XAN,0,12,9,0,0,G_NOCORPSE|G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_ELEC,1,1)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,15,10,MS_BUZZ,MZ_TINY,MR_ELEC|MR_POISON,,M1_NOHANDS|M1_ANIMAL,M2_HOSTILE,M3_INFRAVISIBLE,5,-,-,-,1,1,1,,,,
,,,xan,S_XAN,7,18,-4,0,0,G_GENO|3,"ATTK(AT_STNG,AD_LEGS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,300,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_NOHANDS|M1_ANIMAL|M1_POIS,M2_HOSTILE,M3_INFRAVISIBLE,1,-,POISON=100|-,-,9,9,85,MR_POISON=+5,,,
,,,yellow light,S_LIGHT,3,15,0,0,0,G_NOCORPSE|G_GENO|4,"ATTK(AT_EXPL,AD_SLOW,10,20)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_SMALL,MR_FIRE|MR_COLD|MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,11,-,STUN=100|-,-,5,5,29,,,,
,,,black light,S_LIGHT,5,15,0,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_EXPL,AD_HALU,10,12)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_SMALL,MR_FIRE|MR_COLD|MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOTAKE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID|M1_SEE_INVIS,M2_NEUTER|M2_HOSTILE,,0,-,HALLU=100|-,-,7,7,49,,,,
,,,small skeletal hound,S_ZRUTY,2,18,6,0,-3,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,3,MS_BONES,MZ_SMALL,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_NOHANDS|M1_MINDLESS|M1_ANIMAL|M1_THICK_HIDE,M2_DOMESTIC,M3_INFRAVISION,6,-,-,-,3,3,8,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,skeletal pony,S_ZRUTY,3,16,6,0,-3,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_KICK,AD_PHYS,1,6)","ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,10,MS_BONES,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_NOHANDS|M1_MINDLESS|M1_ANIMAL|M1_THICK_HIDE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISION,7,-,-,-,4,4,13,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,skeletal hound,S_ZRUTY,4,16,5,0,-3,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,5,MS_BONES,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_NOHANDS|M1_MINDLESS|M1_ANIMAL|M1_THICK_HIDE,M2_DOMESTIC,M3_INFRAVISION,6,-,-,-,5,5,20,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,skeleton,S_ZRUTY,4,8,4,50,-5,G_NOCORPSE|G_GENO|G_SGROUP|2,"ATTK(AT_WEAP,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,5,MS_BONES,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_MINDLESS|M1_HUMANOID|M1_THICK_HIDE,M2_HOSTILE|M2_WANDER|M2_STRONG|M2_COLLECT,M3_INFRAVISION,15,-,-,-,5,6,22,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,skeletal horse,S_ZRUTY,5,20,5,0,-3,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_KICK,AD_PHYS,1,8)","ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,20,MS_BONES,MZ_LARGE,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_NOHANDS|M1_MINDLESS|M1_ANIMAL|M1_THICK_HIDE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISION,7,-,-,-,7,7,31,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,large skeletal hound,S_ZRUTY,6,15,4,0,-3,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,5,MS_BONES,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_NOHANDS|M1_MINDLESS|M1_ANIMAL|M1_THICK_HIDE,M2_DOMESTIC|M2_STRONG,M3_INFRAVISION,6,-,-,-,7,7,40,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,skeletal warhorse,S_ZRUTY,7,24,4,0,-3,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_KICK,AD_PHYS,1,10)","ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,25,MS_BONES,MZ_LARGE,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_BREATHLESS|M1_NOHANDS|M1_MINDLESS|M1_ANIMAL|M1_THICK_HIDE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISION,7,-,-,-,9,9,55,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,skeleton warrior,S_ZRUTY,12,8,2,75,-8,G_NOCORPSE|1,"ATTK(AT_WEAP,AD_PHYS,2,6)","ATTK(AT_TUCH,AD_PLYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,5,MS_BONES,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE|MR_PSYCHIC,,M1_BREATHLESS|M1_HUMANOID|M1_THICK_HIDE,M2_MERC|M2_HOSTILE|M2_WANDER|M2_NASTY|M2_STRONG|M2_COLLECT,M3_INFRAVISION,14,-,-,-,14,15,304,,M4_VULNERABLE_FIRE,MH_UNZOMBIE,
,,,couatl,S_ANGEL,8,10,5,30,7,G_NOCORPSE|G_SGROUP|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,2,4)","ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_HUGS,AD_WRAP,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,900,400,MS_HISS,MZ_LARGE,MR_SLEEP|MR_ELEC|MR_POISON,,M1_FLY|M1_NOHANDS|M1_SLITHY|M1_POIS,M2_PRINCE|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,2,-,POISON=100|-,-,11,11,148,,,MH_ANGEL,
,,,Aleax,S_ANGEL,10,8,0,30,7,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_KICK,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,1450,400,MS_IMITATE,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_HUMANOID|M1_SEE_INVIS,M2_PRINCE|M2_STALK|M2_NASTY|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE,11,-,-,-,12,12,238,,,MH_ANGEL,
,,,Angel,S_ANGEL,14,10,-4,55,12,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_WEAP,AD_PHYS,1,6)","ATTK(AT_CLAW,AD_PHYS,1,4)","ATTK(AT_MAGC,AD_MAGM,2,6)",NO_ATTK,NO_ATTK,1450,400,MS_CUSS,MZ_MEDIUM,MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_FLY|M1_HUMANOID|M1_SEE_INVIS,M2_NOPOLY|M2_PRINCE|M2_STALK|M2_NASTY|M2_STRONG|M2_COLLECT,M3_INFRAVISION|M3_INFRAVISIBLE|M3_ACCURATE,15,-,-,-,19,19,415,,,MH_ANGEL,
,,,ki-rin,S_ANGEL,16,18,-5,90,15,G_NOCORPSE|G_NOHELL|1,"ATTK(AT_KICK,AD_PHYS,2,4)","ATTK(AT_KICK,AD_PHYS,2,4)","ATTK(AT_BUTT,AD_PHYS,3,6)","ATTK(AT_MAGC,AD_SPEL,2,6)",NO_ATTK,NO_ATTK,1450,400,MS_SPELL,MZ_LARGE,MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_FLY|M1_NOHANDS|M1_SEE_INVIS,M2_NOPOLY|M2_MERC|M2_PRINCE|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,11,-,-,-,21,21,472,,,MH_ANGEL,
,,,eldritch ki-rin,S_ANGEL,16,18,-5,90,-15,G_NOCORPSE|1,"ATTK(AT_KICK,AD_PHYS,2,4)","ATTK(AT_KICK,AD_PHYS,2,4)","ATTK(AT_BUTT,AD_PHYS,3,6)","ATTK(AT_MAGC,AD_SPEL,2,6)",NO_ATTK,NO_ATTK,1450,400,MS_SPELL,MZ_LARGE,MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON,,M1_FLY|M1_NOHANDS|M1_SEE_INVIS,M2_NOPOLY|M2_MERC|M2_PRINCE|M2_STALK|M2_NASTY|M2_STRONG,M3_INFRAVISION|M3_INFRAVISIBLE,0,-,-,-,21,21,472,,,MH_ANGEL,
