index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,mastodon,S_QUADRUPED,20,12,5,0,0,G_GENO|1,"ATTK(AT_BUTT,AD_PHYS,4,8)","ATTK(AT_BUTT,AD_PHYS,4,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_SILENT,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,,3,-,-,-,22,22,491,
,,,Jumbo the Elephant,S_QUADRUPED,30,12,5,0,0,G_UNIQ|1,"ATTK(AT_BUTT,AD_PHYS,6,8)","ATTK(AT_BUTT,AD_PHYS,6,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_SILENT,MZ_LARGE,MR_STONE,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_NOPOLY|M2_PRINCE|M2_MALE|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,,5,-,-,-,34,34,1221,
,,,juggernaut,S_QUADRUPED,30,9,7,0,0,G_NOCORPSE|G_GENO|G_NOHELL|1,"ATTK(AT_BUTT,AD_PHYS,8,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_SILENT,MZ_GIGANTIC,,,M1_NOHANDS|M1_ANIMAL|M1_THICK_HIDE|M1_HERBIVORE,M2_HOSTILE|M2_STRONG,,11,-,-,-,31,31,981,
,,,catoblepas,S_QUADRUPED,6,6,7,10,0,G_GENO|G_NOGEN|G_UNIQ|0,"ATTK(AT_GAZE,AD_DETH,2,6)","ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1200,500,MS_SILENT,MZ_LARGE,MR_HITASTWO,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,0,-,-,-,10,10,88,
,,,sewer rat,S_RODENT,0,12,7,0,0,G_GENO|G_SGROUP|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,1,1,1,
,,,rabbit,S_RODENT,0,15,7,0,0,G_GENO|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,15,-,-,-,1,1,4,
,,,black rat,S_RODENT,0,12,7,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,0,-,-,-,1,1,1,
,,,giant rat,S_RODENT,1,10,7,0,0,G_GENO|G_SGROUP|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,-,-,2,2,2,
,,,rabid rat,S_RODENT,2,12,6,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRCO,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,5,MS_SQEEK,MZ_TINY,MR_POISON,,M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,3,-,POISON=100|-,-,4,4,7,
,,,rabid rabbit,S_RODENT,3,18,7,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRCO,2,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_HOSTILE,M3_INFRAVISIBLE,15,-,-,-,5,5,16,
,,,pack rat,S_RODENT,0,12,7,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,3)","ATTK(AT_TUCH,AD_SITM,1,1)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,0,-,-,-,2,2,4,
,,,wererat,S_RODENT,2,12,6,10,-7,G_NOCORPSE|G_NOGEN|0,"ATTK(AT_BITE,AD_WERE,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,40,30,MS_SQEEK,MZ_TINY,MR_POISON,,M1_NOHANDS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE|M2_HOSTILE,M3_INFRAVISIBLE,3,-,LYCANTROPY=100|POISON=100|-,-,4,4,7,
,,,rock mole,S_RODENT,3,3,0,20,0,G_GENO|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,,,M1_TUNNEL|M1_NOHANDS|M1_ANIMAL|M1_METALLIVORE,M2_HOSTILE|M2_GREEDY|M2_JEWELS|M2_COLLECT,M3_INFRAVISIBLE,7,-,-,-,4,4,17,
,,,woodchuck,S_RODENT,3,3,0,20,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,,,M1_SWIM|M1_TUNNEL|M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_HOSTILE|M2_WANDER,M3_INFRAVISIBLE,3,-,-,-,4,4,17,
,,,hellrat,S_RODENT,5,15,7,0,0,G_NOCORPSE|G_GENO|G_LGROUP|G_HELL|1,"ATTK(AT_BITE,AD_FIRE,3,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,MR_FIRE,MR_FIRE,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,1,-,-,-,7,7,39,MR_FIRE=33
,,,the Rat King,S_RODENT,12,15,7,0,0,G_UNIQ|1,"ATTK(AT_WEAP,AD_PHYS,2,4)","ATTK(AT_BITE,AD_PHYS,2,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,120,MS_SQEEK,MZ_MEDIUM,MR_STONE,,M1_NOHANDS|M1_ANIMAL|M1_CARNIVORE,M2_NOPOLY|M2_PRINCE|M2_MALE|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG|M2_GREEDY|M2_JEWELS|M2_COLLECT|M2_MAGIC,M3_INFRAVISIBLE|M3_NOTAME,5,-,-,-,16,16,287,
,,,cave spider,S_SPIDER,1,12,3,0,0,G_GENO|G_SGROUP|G_NOHELL|3,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,7,-,-,-,3,3,2,MR_POISON= 7
,,,centipede,S_SPIDER,2,4,3,0,0,G_GENO|1,"ATTK(AT_BITE,AD_DRST,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,11,-,-,-,4,4,9,MR_POISON=13
,,,recluse spider,S_SPIDER,3,12,3,0,0,G_GENO|G_SGROUP|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,5,5,16,MR_POISON=20
,,,giant spider,S_SPIDER,5,15,4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,5,-,POISON=100|-,-,7,7,39,MR_POISON=33
,,,barking spider,S_SPIDER,5,15,3,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,1,2)","ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_BARK,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,9,-,POISON=100|-,-,7,7,29,MR_POISON=33
,,,scorpion,S_SPIDER,5,15,3,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_CLAW,AD_PHYS,1,2)","ATTK(AT_CLAW,AD_PHYS,1,2)","ATTK(AT_STNG,AD_DRST,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,50,100,MS_SILENT,MZ_SMALL,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,1,-,POISON=100|-,-,8,8,42,MR_POISON=50
,,,carrion crawler,S_SPIDER,3,12,3,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_TUCH,AD_PLYS,1,1)","ATTK(AT_TUCH,AD_PLYS,1,1)","ATTK(AT_TUCH,AD_PLYS,1,1)","ATTK(AT_TUCH,AD_PLYS,1,1)","ATTK(AT_TUCH,AD_PLYS,1,1)","ATTK(AT_TUCH,AD_PLYS,1,1)",50,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY,,2,-,-,-,12,12,67,MR_POISON=20
,,,nickelpede,S_SPIDER,8,4,3,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,50,MS_SILENT,MZ_MEDIUM,MR_POISON,MR_POISON,M1_CONCEAL|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE,,6,-,-,-,10,10,81,MR_POISON=53
,,,giant scorpion,S_SPIDER,12,15,3,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_CLAW,AD_PHYS,5,2)","ATTK(AT_CLAW,AD_PHYS,5,2)","ATTK(AT_STNG,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,500,150,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_HOSTILE,,1,-,POISON=100|-,-,15,15,225,MR_POISON=80
,,,Girtab,S_SPIDER,22,15,3,0,0,G_NOGEN|G_UNIQ|1,"ATTK(AT_CLAW,AD_PHYS,5,4)","ATTK(AT_CLAW,AD_PHYS,5,4)","ATTK(AT_STNG,AD_DRST,3,8)",NO_ATTK,NO_ATTK,NO_ATTK,500,150,MS_SILENT,MZ_LARGE,MR_POISON|MR_STONE,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_PRINCE|M2_FEMALE|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_NOTAME,1,-,POISON=100|-,-,28,28,761,MR_POISON=100
,,,Shelob,S_SPIDER,26,15,3,0,0,G_NOGEN|G_UNIQ|1,"ATTK(AT_BITE,AD_PHYS,8,4)","ATTK(AT_BITE,AD_DRST,5,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,150,MS_SILENT,MZ_LARGE,MR_POISON|MR_STONE,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_PRINCE|M2_FEMALE|M2_PNAME|M2_HOSTILE|M2_STALK|M2_NASTY|M2_STRONG,M3_NOTAME,0,-,POISON=100|-,-,31,31,990,MR_POISON=100
,,,phase spider,S_SPIDER,8,12,2,0,-4,G_GENO|1,"ATTK(AT_BITE,AD_DRST,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_TPORT|M1_POIS|M1_CARNIVORE,M2_HOSTILE|M2_STRONG,,4,-,POISON=100|-,-,10,10,86,MR_POISON=53|M1_TPORT=80
,,,werespider,S_SPIDER,11,15,3,0,0,G_GENO|G_NOGEN|1,"ATTK(AT_BITE,AD_WERE,4,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_BARK,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_REGEN|M1_POIS|M1_CARNIVORE,M2_NOPOLY|M2_WERE|M2_HOSTILE,,0,-,LYCANTROPY=100|POISON=100|-,-,13,13,186,MR_POISON=73
,,,lurker above,S_TRAPPER,10,3,3,0,0,G_GENO|2,"ATTK(AT_ENGL,AD_DGST,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_SILENT,MZ_HUGE,,,M1_FLY|M1_HIDE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,,7,-,-,-,12,12,164,
,,,trapper,S_TRAPPER,12,3,3,0,0,G_GENO|2,"ATTK(AT_ENGL,AD_DGST,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_SILENT,MZ_HUGE,,,M1_HIDE|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_ANIMAL|M1_CARNIVORE,M2_HOSTILE|M2_STALK|M2_STRONG,,2,-,-,-,14,14,210,
,,,white unicorn,S_UNICORN,4,24,2,70,7,G_GENO|G_NOHELL|4,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON|MR_HITASTWO,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,15,-,-,-,6,6,27,MR_POISON=27
,,,gray unicorn,S_UNICORN,4,24,2,70,0,G_GENO|G_NOHELL|4,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON|MR_HITASTWO,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,7,-,-,-,6,6,27,MR_POISON=27
,,,black unicorn,S_UNICORN,4,24,2,70,-7,G_GENO|G_NOHELL|4,"ATTK(AT_BUTT,AD_PHYS,1,12)","ATTK(AT_KICK,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON|MR_HITASTWO,MR_POISON,M1_NOHANDS|M1_HERBIVORE,M2_WANDER|M2_STRONG|M2_JEWELS,M3_INFRAVISIBLE,0,-,-,-,6,6,27,MR_POISON=27
,,,pony,S_UNICORN,3,16,6,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,6)","ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,250,MS_NEIGH,MZ_MEDIUM,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,4,4,13,
,,,horse,S_UNICORN,5,20,5,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,8)","ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,300,MS_NEIGH,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,7,7,31,
,,,warhorse,S_UNICORN,7,24,4,0,0,G_GENO|2,"ATTK(AT_KICK,AD_PHYS,1,10)","ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,,,M1_NOHANDS|M1_ANIMAL|M1_HERBIVORE,M2_DOMESTIC|M2_WANDER|M2_STRONG,M3_INFRAVISIBLE,3,-,-,-,9,9,55,
,,,Pegasus,S_UNICORN,12,24,2,70,7,G_NOGEN|G_UNIQ|0,"ATTK(AT_KICK,AD_PHYS,2,10)","ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,350,MS_NEIGH,MZ_LARGE,,,M1_FLY|M1_NOHANDS|M1_ANIMAL,M2_NOPOLY|M2_PNAME|M2_PEACEFUL|M2_WANDER|M2_STRONG,,15,-,-,-,14,14,205,
,,,fog cloud,S_VORTEX,3,1,0,0,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_ENGL,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_AMORPHOUS|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,,7,-,-,-,4,4,20,
,,,dust vortex,S_VORTEX,4,20,2,30,0,G_NOCORPSE|G_GENO|2,"ATTK(AT_ENGL,AD_BLND,2,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,,3,-,-,-,6,6,34,
,,,ice vortex,S_VORTEX,5,20,2,30,0,G_NOCORPSE|G_GENO|G_NOHELL|1,"ATTK(AT_ENGL,AD_COLD,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_COLD|MR_SLEEP|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,6,-,-,-,7,7,49,
,,,energy vortex,S_VORTEX,6,20,2,30,0,G_NOCORPSE|G_GENO|G_NOHELL|1,"ATTK(AT_ENGL,AD_ELEC,1,6)","ATTK(AT_ENGL,AD_DREN,0,0)","ATTK(AT_NONE,AD_ELEC,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP|MR_DISINT|MR_ELEC|MR_POISON|MR_STONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,,12,-,-,-,9,9,83,
,,,steam vortex,S_VORTEX,7,22,2,30,0,G_NOCORPSE|G_GENO|G_HELL|2,"ATTK(AT_ENGL,AD_FIRE,1,8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE|MR_PLUSONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,4,-,-,-,9,9,77,
,,,fire vortex,S_VORTEX,8,22,2,30,0,G_NOCORPSE|G_GENO|G_HELL|1,"ATTK(AT_ENGL,AD_FIRE,1,10)","ATTK(AT_NONE,AD_FIRE,0,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE|MR_SLEEP|MR_POISON|MR_STONE|MR_PLUSONE,,M1_FLY|M1_BREATHLESS|M1_NOEYES|M1_NOHANDS|M1_NOLIMBS|M1_NOHEAD|M1_MINDLESS|M1_UNSOLID,M2_NEUTER|M2_HOSTILE,M3_INFRAVISIBLE,11,-,-,-,10,10,110,
,,,larva,S_WORM,1,6,9,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,150,100,MS_SILENT,MZ_MEDIUM,MR_SLEEP|MR_POISON,MR_SLEEP,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_REGEN|M1_POIS,M2_NEUTER|M2_HOSTILE|M2_WANDER|M2_STALK,,15,-,POISON=100|-,-,2,2,2,MR_SLEEP= 7
,,,maggot,S_WORM,2,9,5,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,1,3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_CONCEAL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,15,-,-,-,3,3,5,
,,,dung worm,S_WORM,3,9,5,0,0,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,0,-,-,-,4,4,10,
,,,acid worm,S_WORM,4,9,5,0,0,G_GENO|G_SGROUP|1,"ATTK(AT_SPIT,AD_ACID,2,4)","ATTK(AT_BITE,AD_DRST,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,MR_ACID|MR_STONE,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_ACID|M1_CARNIVORE,M2_HOSTILE,,2,UNSTONE=100|-,ACID=100|-,-,7,7,36,
,,,bloodworm,S_WORM,6,9,4,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_DRST,2,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,MR_ACID,,M1_AMPHIBIOUS|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,8,8,49,
,,,tunnel worm,S_WORM,7,9,5,0,0,G_GENO|G_NOHELL|1,"ATTK(AT_BITE,AD_PHYS,3,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,200,MS_SILENT,MZ_MEDIUM,MR_ACID,,M1_TUNNEL|M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,1,-,-,-,8,8,50,
,,,baby long worm,S_WORM,8,3,5,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,3,-,-,-,9,9,65,
,,,baby purple worm,S_WORM,8,3,5,0,0,G_GENO|0,"ATTK(AT_BITE,AD_PHYS,1,6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE,,5,-,-,-,9,9,65,
,,,long worm,S_WORM,8,3,5,10,0,G_GENO|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,1,4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,500,MS_SILENT,MZ_GIGANTIC,,,M1_NOTAKE|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,3,-,-,-,11,11,121,
,,,purple worm,S_WORM,15,9,6,20,0,G_GENO|G_NOHELL|2,"ATTK(AT_BITE,AD_PHYS,2,8)","ATTK(AT_ENGL,AD_DGST,1,10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2700,700,MS_SILENT,MZ_GIGANTIC,MR_HITASONE,,M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_CARNIVORE,M2_HOSTILE|M2_NASTY|M2_STRONG,,5,-,-,-,19,19,399,
,,,rot worm,S_WORM,1,9,5,0,0,G_GENO|G_NOGEN|0,"ATTK(AT_BITE,AD_DISE,1,2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_SMALL,,,M1_CONCEAL|M1_NOHANDS|M1_NOLIMBS|M1_ANIMAL|M1_SLITHY|M1_CARNIVORE,M2_HOSTILE|M2_NASTY,,7,-,-,-,4,4,10,
